epoch,goal_achieved
199,"[True, False, False, True, True]"
200,"[False, True, True, False, True]"
201,"[False, False, True, True, False]"
202,"[True, True, False, True, True]"
203,"[True, False, True, True, True]"
204,"[True, True, True, True, False]"
205,"[True, True, False, True, True]"
206,"[True, True, True, True, True]"
207,"[True, True, False, True, False]"
208,"[True, False, True, True, False]"
209,"[False, False, True, True, True]"
210,"[True, False, False, True, True]"
211,"[True, True, True, True, True]"
212,"[True, True, True, False, True]"
213,"[True, True, False, True, True]"
214,"[True, True, False, True, True]"
215,"[True, True, True, True, True]"
216,"[True, True, True, True, True]"
217,"[True, False, True, True, True]"
218,"[True, True, True, True, False]"
219,"[False, False, True, False, True]"
220,"[True, True, True, True, True]"
221,"[True, True, True, True, True]"
222,"[True, True, True, True, True]"
223,"[True, True, True, True, True]"
224,"[False, True, True, True, True]"
225,"[True, False, True, False, True]"
226,"[True, True, False, True, True]"
227,"[True, False, True, True, True]"
228,"[False, True, True, True, True]"
229,"[False, False, False, True, True]"
230,"[False, True, False, False, True]"
231,"[False, True, True, True, False]"
232,"[False, False, False, True, True]"
233,"[False, True, True, True, True]"
234,"[True, True, True, True, True]"
235,"[True, False, True, True, True]"
236,"[True, False, True, True, True]"
237,"[True, False, True, True, True]"
238,"[True, True, True, True, True]"
239,"[True, True, True, True, True]"
240,"[True, True, False, True, True]"
241,"[True, True, True, True, False]"
242,"[True, True, False, True, False]"
243,"[True, True, True, False, True]"
244,"[False, False, True, False, True]"
245,"[True, True, True, True, True]"
246,"[True, True, False, True, True]"
247,"[False, True, True, True, True]"
248,"[True, True, False, True, False]"
249,"[True, True, True, False, False]"
250,"[True, True, True, True, False]"
251,"[True, True, True, True, False]"
252,"[False, True, True, False, True]"
253,"[True, True, True, True, True]"
254,"[False, False, True, False, False]"
255,"[True, False, True, True, True]"
256,"[True, True, True, True, False]"
257,"[True, True, True, False, True]"
258,"[False, False, True, True, False]"
259,"[True, True, True, True, True]"
260,"[True, True, True, True, True]"
261,"[True, True, False, False, True]"
262,"[False, True, True, False, False]"
263,"[True, True, True, True, True]"
264,"[False, True, True, True, True]"
265,"[True, True, True, True, False]"
266,"[True, True, True, True, True]"
267,"[True, True, False, False, True]"
268,"[False, False, True, True, True]"
269,"[True, True, False, True, False]"
270,"[True, True, True, True, True]"
271,"[True, True, True, True, True]"
272,"[True, True, False, False, True]"
273,"[True, True, True, False, True]"
274,"[False, False, True, False, True]"
275,"[True, False, True, True, True]"
276,"[True, True, True, True, False]"
277,"[False, False, True, False, True]"
278,"[True, True, True, False, True]"
279,"[True, True, True, True, True]"
280,"[True, True, True, True, False]"
281,"[False, True, True, False, True]"
282,"[True, True, True, True, True]"
283,"[True, True, True, True, True]"
284,"[False, True, True, True, True]"
285,"[False, True, True, True, True]"
286,"[True, True, True, True, True]"
287,"[True, True, True, True, False]"
288,"[True, False, True, True, False]"
289,"[False, True, False, False, True]"
290,"[True, True, True, False, True]"
291,"[True, True, True, False, True]"
292,"[True, True, True, False, True]"
293,"[True, True, True, False, True]"
294,"[True, True, True, True, True]"
295,"[False, False, True, True, True]"
296,"[True, True, True, True, True]"
297,"[True, False, True, False, True]"
298,"[True, False, False, False, True]"
299,"[True, False, True, True, True]"
300,"[True, True, True, False, False]"
301,"[False, True, True, True, True]"
302,"[True, False, False, True, True]"
303,"[True, True, True, False, True]"
304,"[True, True, True, True, False]"
305,"[False, True, True, True, False]"
306,"[True, True, False, False, True]"
307,"[True, False, True, True, False]"
308,"[True, True, False, False, True]"
309,"[False, True, True, False, True]"
310,"[True, True, True, True, True]"
311,"[True, True, True, True, True]"
312,"[False, True, True, True, True]"
313,"[True, True, False, False, True]"
314,"[False, True, False, True, True]"
315,"[True, True, True, False, True]"
316,"[True, False, True, True, True]"
317,"[True, True, True, True, True]"
318,"[True, True, True, True, True]"
319,"[True, True, True, False, True]"
320,"[True, True, True, True, True]"
321,"[True, False, True, False, False]"
322,"[True, True, True, True, True]"
323,"[True, False, True, True, True]"
324,"[True, True, True, True, False]"
325,"[True, True, True, True, True]"
326,"[True, False, False, True, True]"
327,"[True, False, True, True, True]"
328,"[True, True, False, True, True]"
329,"[False, True, False, True, False]"
330,"[True, True, False, True, False]"
331,"[True, False, False, False, False]"
332,"[False, True, False, False, False]"
333,"[False, True, True, True, False]"
334,"[True, True, True, True, True]"
335,"[True, True, True, False, True]"
336,"[False, True, True, True, True]"
337,"[True, True, False, False, True]"
338,"[True, True, True, True, True]"
339,"[True, True, False, True, False]"
340,"[True, False, True, False, True]"
341,"[True, True, True, False, True]"
342,"[True, True, True, True, True]"
343,"[True, True, False, True, True]"
344,"[False, False, True, True, True]"
345,"[True, True, False, False, False]"
346,"[True, True, True, True, False]"
347,"[True, True, True, False, False]"
348,"[True, False, True, True, True]"
349,"[True, False, True, True, True]"
350,"[False, False, False, True, True]"
351,"[False, True, True, False, True]"
352,"[True, False, False, True, True]"
353,"[True, True, True, False, True]"
354,"[False, True, True, True, True]"
355,"[True, True, False, False, True]"
356,"[True, True, False, False, True]"
357,"[False, True, False, False, False]"
358,"[True, True, True, True, False]"
359,"[False, False, True, False, True]"
360,"[True, True, False, False, True]"
361,"[True, True, True, True, True]"
362,"[True, True, True, True, False]"
363,"[True, True, True, True, True]"
364,"[True, True, False, True, True]"
365,"[False, False, True, False, False]"
366,"[False, True, True, True, True]"
367,"[True, True, True, False, False]"
368,"[True, True, False, True, True]"
369,"[False, True, True, False, False]"
370,"[True, False, False, True, True]"
371,"[True, True, True, True, True]"
372,"[False, True, True, True, True]"
373,"[True, True, True, True, True]"
374,"[False, False, True, True, True]"
375,"[True, False, True, True, False]"
376,"[True, True, True, True, True]"
377,"[True, False, True, True, True]"
378,"[True, True, True, True, True]"
379,"[True, True, True, False, True]"
380,"[True, False, True, False, False]"
381,"[False, True, True, True, True]"
382,"[False, True, True, True, False]"
383,"[True, True, True, True, False]"
384,"[False, True, True, False, True]"
385,"[False, True, True, True, True]"
386,"[True, True, True, True, True]"
387,"[False, True, True, True, True]"
388,"[False, False, False, True, False]"
389,"[False, False, True, False, True]"
390,"[False, True, True, False, True]"
391,"[True, True, True, False, True]"
392,"[True, True, True, False, True]"
393,"[True, True, True, True, True]"
394,"[True, True, True, True, False]"
395,"[True, True, True, True, True]"
396,"[True, True, True, True, True]"
397,"[True, False, True, True, True]"
398,"[True, True, True, True, False]"
399,"[False, False, False, True, True]"
400,"[True, True, False, True, True]"
401,"[True, False, True, False, False]"
402,"[True, True, False, True, False]"
403,"[True, False, False, True, True]"
404,"[True, True, True, True, True]"
405,"[True, False, True, True, True]"
406,"[True, False, True, True, True]"
407,"[False, False, True, True, True]"
408,"[True, True, True, True, True]"
409,"[True, True, True, True, True]"
410,"[False, True, True, True, False]"
411,"[True, True, True, False, False]"
412,"[False, False, True, True, True]"
413,"[True, False, True, True, True]"
414,"[True, True, False, True, True]"
415,"[True, True, True, True, True]"
416,"[True, True, False, True, False]"
417,"[True, False, False, True, False]"
418,"[False, True, True, True, True]"
419,"[False, True, True, False, False]"
420,"[True, True, False, True, True]"
421,"[False, True, True, True, True]"
422,"[False, False, True, True, True]"
423,"[True, True, True, False, True]"
424,"[False, True, True, True, True]"
425,"[True, True, True, True, False]"
426,"[True, True, True, False, False]"
427,"[True, True, False, True, True]"
428,"[True, True, True, True, True]"
429,"[True, False, False, True, True]"
430,"[True, True, False, True, True]"
431,"[True, True, True, True, False]"
432,"[True, True, True, True, True]"
433,"[False, True, True, False, True]"
434,"[True, False, True, True, True]"
435,"[False, True, True, False, True]"
436,"[True, False, True, True, True]"
437,"[False, False, True, True, True]"
438,"[True, True, False, True, False]"
439,"[False, False, True, True, True]"
440,"[True, True, True, True, False]"
441,"[False, True, True, True, False]"
442,"[True, True, True, True, True]"
443,"[True, True, True, True, False]"
444,"[True, True, False, True, False]"
445,"[False, True, True, False, True]"
446,"[True, True, True, True, True]"
447,"[True, False, True, True, True]"
448,"[True, True, True, True, True]"
449,"[True, False, True, False, False]"
450,"[True, False, True, True, True]"
451,"[True, False, True, False, True]"
452,"[False, True, True, True, True]"
453,"[True, True, True, True, True]"
454,"[False, True, True, True, False]"
455,"[True, True, True, False, True]"
456,"[False, True, True, False, True]"
457,"[True, True, True, True, True]"
458,"[False, True, True, True, False]"
459,"[True, False, True, True, False]"
460,"[True, True, True, False, True]"
461,"[True, True, True, False, False]"
462,"[False, True, True, True, True]"
463,"[True, True, False, True, False]"
464,"[True, False, False, True, False]"
465,"[False, True, True, True, False]"
466,"[True, True, True, False, True]"
467,"[True, True, True, True, False]"
468,"[False, True, False, True, False]"
469,"[False, True, True, True, True]"
470,"[True, True, True, True, True]"
471,"[False, True, True, True, True]"
472,"[False, False, True, True, False]"
473,"[False, True, True, True, True]"
474,"[True, True, True, False, True]"
475,"[False, False, True, True, False]"
476,"[False, True, False, False, False]"
477,"[True, True, False, True, True]"
478,"[True, True, False, True, True]"
479,"[True, True, True, False, True]"
480,"[True, True, False, True, False]"
481,"[True, False, True, True, True]"
482,"[True, False, True, True, True]"
483,"[True, True, True, False, True]"
484,"[False, True, False, True, True]"
485,"[True, True, True, True, True]"
486,"[False, True, False, True, False]"
487,"[True, True, True, True, False]"
488,"[True, True, True, True, True]"
489,"[True, True, True, True, True]"
490,"[False, False, True, True, True]"
491,"[True, True, False, True, True]"
492,"[True, True, True, True, True]"
493,"[True, True, True, True, True]"
494,"[True, False, True, True, True]"
495,"[True, True, True, True, True]"
496,"[True, True, True, True, True]"
497,"[True, True, True, False, True]"
498,"[True, True, True, True, True]"
499,"[True, True, True, False, False]"
500,"[True, True, True, True, True]"
501,"[True, False, True, True, True]"
502,"[True, True, True, True, False]"
